Mj_hon	Mj_strat	Mj_ossChoose0	Mj_ossChoose1	Mj_probChoose2	Mj_probChoose3	Mj_probChoose4	Mj_probChoose5	Mj_probChoose6	Mj_reluctantStrat7	Mj_probChoose8	Mj_strat_push	Mj_ossChoose0_push	Mj_ossChoose1_push	Mj_probChoose2_push	Mj_probChoose3_push	Mj_probChoose4_push	Mj_probChoose5_push	Mj_probChoose6_push	Mj_reluctantStrat7_push	Mj_probChoose8_push	Score_hon	Score_strat	Score_ossChoose0	Score_ossChoose1	Score_probChoose2	Score_probChoose3	Score_probChoose4	Score_strat_push	Score_ossChoose0_push	Score_ossChoose1_push	Score_probChoose2_push	Score_probChoose3_push	Score_probChoose4_push	Irv_hon	Irv_strat	Irv_ossChoose0	Irv_ossChoose1	Irv_probChoose2	Irv_probChoose3	Irv_probChoose4	Irv_strat_push	Irv_ossChoose0_push	Irv_ossChoose1_push	Irv_probChoose2_push	Irv_probChoose3_push	Irv_probChoose4_push	type_hon	type_strat	type_ossChoose0	type_ossChoose1	type_probChoose2	type_probChoose3	type_probChoose4	type_strat_push	type_ossChoose0_push	type_ossChoose1_push	type_probChoose2_push	type_probChoose3_push	type_probChoose4_push
0.22568636875919845	0.22568636875919845	0.6329971307802709	0.22568636875919845	0.22568636875919845	0.22568636875919845	0.22568636875919845	0.22568636875919845	0.22568636875919845	0.6329971307802709	0.22568636875919845	0	1	0	0	0	0	0	0	1	0	0.22568636875919845	0.22568636875919845	0.42611114847940207	0.42611114847940207	0.22568636875919845	0.22568636875919845	0.22568636875919845	0	1	1	0	0	0	0.6329971307802709	0.6329971307802709	0.6329971307802709	0.6329971307802709	0.6329971307802709	0.6329971307802709	0.6329971307802709	0	0	0	0	0	0	0.22568636875919845	0.6329971307802709	0.22568636875919845	0.22568636875919845	0.6329971307802709	0.6329971307802709	0.6329971307802709	1	0	0	1	1	1
1.0	-0.06951107804460338	0.6308057586452983	0.6308057586452983	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1	1	1	0	0	0	0	0	0	0	1.0	1.0	0.6308057586452983	0.6308057586452983	0.6308057586452983	1.0	1.0	0	1	1	1	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0
0.38178108089789436	0.38178108089789436	0.38178108089789436	0.38178108089789436	0.38178108089789436	0.38178108089789436	0.38178108089789436	0.38178108089789436	0.38178108089789436	0.38178108089789436	0.38178108089789436	0	0	0	0	0	0	0	0	0	0	1.0	0.28262723911185617	0.28262723911185617	0.28262723911185617	1.0	0.28262723911185617	0.28262723911185617	1	1	1	0	1	1	1.0	0.28262723911185617	1.0	1.0	1.0	0.28262723911185617	0.28262723911185617	1	0	0	0	1	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0
1.0	1.0	0.825066558758689	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	1	0	0	0	0	0	0	0	0	1.0	1.0	0.825066558758689	0.825066558758689	1.0	1.0	1.0	0	1	1	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0
0.8443837420359541	0.8443837420359541	1.0	0.8443837420359541	0.8443837420359541	0.8443837420359541	0.8443837420359541	0.8443837420359541	0.8443837420359541	0.8443837420359541	0.8443837420359541	0	1	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	0.8443837420359541	0.8443837420359541	0.8443837420359541	0	0	0	1	1	1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0
0.9378297600947056	0.7024179968268974	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1	1	1	1	1	1	1	1	1	1	1.0	1.0	0.9378297600947056	0.9378297600947056	1.0	1.0	1.0	0	1	1	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	0.9378297600947056	1.0	0.9378297600947056	0.9378297600947056	1.0	1.0	1.0	1	0	0	1	1	1
0.645629569841874	1.0	1.0	1.0	0.645629569841874	0.645629569841874	0.3359362342418532	1.0	1.0	0.3359362342418532	0.645629569841874	1	1	1	0	0	1	1	1	1	0	1.0	1.0	0.645629569841874	1.0	1.0	1.0	1.0	0	1	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0
0.7467092252743938	0.7467092252743938	0.9864697739756111	0.9864697739756111	0.7467092252743938	0.7467092252743938	0.7467092252743938	0.7467092252743938	0.7467092252743938	0.7467092252743938	0.9864697739756111	0	1	1	0	0	0	0	0	0	1	0.9864697739756111	0.7467092252743938	1.0	1.0	0.9864697739756111	0.9864697739756111	0.9864697739756111	1	1	1	0	0	0	0.7467092252743938	0.7467092252743938	0.7467092252743938	0.7467092252743938	0.7467092252743938	0.7467092252743938	0.7467092252743938	0	0	0	0	0	0	0.7467092252743938	0.7467092252743938	0.7467092252743938	0.7467092252743938	0.7467092252743938	0.7467092252743938	0.7467092252743938	0	0	0	0	0	0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0.047481825651876655	1.0	1.0	1.0	1.0	0	1	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0.7731015495916473	0.7731015495916473	1.0	1.0	1.0	0	1	1	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0.44852283465504084	1.0	1.0	1.0	1.0	0	1	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0
1.0	1.0	0.007205121631325028	0.007205121631325028	1.0	1.0	1.0	1.0	1.0	-0.39266705016128084	1.0	0	1	1	0	0	0	0	0	1	0	1.0	-0.39266705016128084	-0.39266705016128084	-0.39266705016128084	1.0	1.0	1.0	1	1	1	0	0	0	-0.39266705016128084	-0.25849812832590274	-0.39266705016128084	-0.39266705016128084	-0.25849812832590274	-0.25849812832590274	-0.25849812832590274	1	0	0	1	1	1	1.0	-0.39266705016128084	1.0	1.0	1.0	1.0	-0.39266705016128084	1	0	0	0	0	1
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0
1.0	-0.044444611425118324	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0
